Latitude Longitude
41.748522674 -87.664041683
41.74863913 -87.616470485
41.880748488 -87.723881711
41.807113842 -87.60893429
41.765386946 -87.63282665
41.987102565 -87.701858263
41.937227668 -87.644305471
41.981729156 -87.692893082
41.931149489 -87.77522735
41.998483144 -87.698449471
41.788609502 -87.647439345
41.923492464 -87.73531093
41.66237583 -87.641391741
41.757931061 -87.602919789
41.837963548 -87.617470765
41.880457093 -87.62435557
41.978917714 -87.692645422
41.970860678 -87.763418662
41.942105541 -87.687993148
41.880484533 -87.624355267
41.781590211 -87.597851954
41.857567911 -87.666136197
41.794976356 -87.667042466
41.733519984 -87.642328668
41.890711771 -87.714954162
41.730145605 -87.545284948
41.881776822 -87.620767948
41.799569889 -87.60633833
41.939943264 -87.651924995
41.879894914 -87.659518246
41.874969429 -87.745530485
41.773065672 -87.569966992
41.982946289 -87.766771896
41.90048217 -87.749193895
41.897761801 -87.713949511
41.78455731 -87.695258769
41.762337776 -87.688074906
41.931589197 -87.74244575
41.913655796 -87.794932925
41.787396627 -87.696062978
41.851656827 -87.71569752
41.766029151 -87.652925347
41.891729903 -87.722649794
41.756800759 -87.650266713
41.70046639 -87.646282247
41.771949874 -87.649442482
41.879090007 -87.620735373
41.791370974 -87.696173962
41.883219258 -87.626818503
41.695908161 -87.595822806
41.878630716 -87.636673298
41.927002017 -87.734197767
41.908232799 -87.633063573
41.878547659 -87.687245
41.828762287 -87.614436164
41.88171846 -87.627760426
41.867429555 -87.626037832
41.906111588 -87.773072333
41.685379492 -87.617736935
41.751007325 -87.581665974
41.709085198 -87.534079128
41.755617231 -87.644169735
41.913175926 -87.754398107
41.886202772 -87.620685715
41.91729165 -87.715825614
41.675811541 -87.601854093
41.75048339 -87.599101334
41.811285539 -87.690628468
41.960146988 -87.686219134
41.776622842 -87.70308407
41.756230175 -87.562678914
41.714529024 -87.657508689
41.904370109 -87.631460067
41.959404426 -87.653644257
41.889951856 -87.716529717
41.885607905 -87.772777766
41.656697711 -87.610611375
42.016458996 -87.688857453
41.817855025 -87.616825316
41.911340264 -87.800356677
41.899800353 -87.630463245
41.656822987 -87.597483806
41.789710402 -87.714191365
41.844360796 -87.716387934
41.728074176 -87.617054509
41.867428687 -87.626342565
41.701130406 -87.662991698
41.978192047 -87.65703396
41.924082811 -87.757933714
41.976636986 -87.836614745
41.708029389 -87.569290282
41.897670312 -87.680587633
41.866535025 -87.627391392
42.007919177 -87.665351128
41.94574295 -87.688228479
41.671915347 -87.640509957
41.990714038 -87.677408737
41.977686905 -87.691411021
41.794055357 -87.75378443
41.759181775 -87.629632125
41.800439665 -87.693986299
41.888165132 -87.622937212
41.932575738 -87.657615295
41.96430476 -87.662368986
41.710207814 -87.613843189
41.778582329 -87.687285151
41.858954299 -87.716809329
41.787895446 -87.785308659
41.7638514 -87.684445601
41.883449115 -87.674247151
41.910292604 -87.634683257
41.770357852 -87.621822764
41.772185963 -87.664371296
41.77757722 -87.617266502
41.730603305 -87.5986207
41.866202226 -87.723039647
41.869201889 -87.670589881
41.895594246 -87.755618412
41.778817579 -87.773976383
41.772431753 -87.647413764
41.911432761 -87.747789831
41.771226087 -87.611431428
41.895077107 -87.628157005
41.654348486 -87.604083952
41.865554907 -87.715402236
41.894898559 -87.759720016
41.671555065 -87.65510342
41.932306604 -87.676497041
41.93859561 -87.649576033
41.90911556 -87.713090321
41.827386305 -87.623969131
41.758560412 -87.562728003
41.891990384 -87.611461502
41.655814926 -87.59606083
41.880741876 -87.628266906
41.884812928 -87.714173749
41.781383529 -87.607207421
41.890720296 -87.706404029
41.787701402 -87.605555736
41.682468145 -87.659103605
41.923573202 -87.719410237
41.87926181 -87.743996626
41.908912162 -87.694510491
41.969323537 -87.79284644
41.790857624 -87.607771565
41.885481891 -87.627935689
41.808584003 -87.665881774
41.878840427 -87.639582928
41.898918515 -87.732285832
41.828852841 -87.614435151
41.700511369 -87.669340459
41.779232888 -87.685364796
41.861923555 -87.62944284
41.692576964 -87.623786349
41.882381731 -87.629412971
41.657910315 -87.601010101
41.749622027 -87.671905584
41.939897694 -87.654887948
41.969786342 -87.753286399
41.802132606 -87.613677631
41.829580097 -87.680142381
41.834042232 -87.674368991
41.838219696 -87.704850674
41.968338086 -87.719124016
41.967538619 -87.713340244
41.78937653 -87.580601862
41.777747019 -87.60282696
41.740204661 -87.55633747
41.800455673 -87.587407515
42.013109225 -87.663604147
41.763386374 -87.599419755
41.803040151 -87.625917535
41.679706321 -87.635034227
41.891620575 -87.63148948
41.766287795 -87.645664744
41.76647519 -87.620135503
41.774215875 -87.590109219
41.886918114 -87.667634082
41.670107447 -87.639248298
41.978586428 -87.694752413
41.894674719 -87.650114492
41.776018543 -87.615520426
41.93791173 -87.727149134
41.76540881 -87.631462832
41.956875902 -87.797554615
41.884526106 -87.680229348
41.870724666 -87.628597294
41.892753031 -87.624193896
41.765937069 -87.657783202
41.882761545 -87.709346189
41.953436358 -87.746273229
41.719140335 -87.626182793
41.90677498 -87.671832498
41.795081408 -87.663399816
41.880579428 -87.627732563
41.960587059 -87.75860548
41.911191384 -87.630867327
42.011956111 -87.663038536
41.923926927 -87.665757616
41.677160425 -87.619537457
41.793487571 -87.705280523
41.751613643 -87.575373855
41.730147219 -87.545120069
41.76622433 -87.57829932
41.749203802 -87.551164468
41.897211487 -87.625823165
41.924696573 -87.766016113
41.944421876 -87.657971749
41.935432921 -87.668504341
41.751717281 -87.567002336
41.871837936 -87.709070595
41.980194918 -87.714872513
41.768052347 -87.649337251
41.665814864 -87.558853882
41.725451579 -87.619856732
41.668028717 -87.63315841
41.919345195 -87.636388619
41.673548279 -87.616795523
41.766102387 -87.573539169
41.78612223 -87.711395177
41.947114224 -87.661292108
41.946648722 -87.702084879
41.869431126 -87.655791451
41.852305242 -87.667222302
41.938598108 -87.806767636
41.693503532 -87.620960508
41.744909385 -87.603789279
41.74796625 -87.730595735
41.764728804 -87.586292974
41.908769613 -87.719184726
41.877649878 -87.74272258
41.760847469 -87.649153536
41.785317996 -87.724170331
41.771685848 -87.702083952
41.852868298 -87.63091491
41.767354959 -87.595188356
41.892591259 -87.717448236
41.755364837 -87.565826474
41.755931648 -87.657367707
41.907310953 -87.690830761
41.845077635 -87.6233737
41.949399588 -87.777700254
42.001672452 -87.673727497
41.973097909 -87.685426117
41.878177032 -87.627986655
41.939615879 -87.69524062
41.894861261 -87.629206166
41.829302505 -87.68345481
41.988719229 -87.668384208
41.893844693 -87.770799522
41.8926701 -87.628106353
41.800915746 -87.597469628
41.879290642 -87.741598513
41.874119819 -87.624223667
41.841103444 -87.626852618
41.761828773 -87.627638584
41.866111947 -87.72932209
41.894945606 -87.754874977
41.878797001 -87.731626185
41.948080205 -87.65802136
41.906490653 -87.650451396
41.763020009 -87.595776857
41.936335635 -87.650710119
41.890081244 -87.62704405
41.765651252 -87.624909847
41.891990384 -87.611461502
41.746227464 -87.665762163
41.871833434 -87.726665048
41.688898089 -87.697123896
41.807499342 -87.590234482
41.895877613 -87.706566627
41.788071184 -87.769451738
41.75852909 -87.608517015
41.924362508 -87.650694454
41.752061294 -87.612525755
41.727841157 -87.555061405
41.722389451 -87.581629631
41.854484373 -87.723580522
41.752950248 -87.554061838
41.779202501 -87.687766548
41.790584807 -87.71655182
41.895987813 -87.722432928
41.897982937 -87.624095634
41.794509508 -87.633301738
41.763864585 -87.676623386
41.813355151 -87.688256413
41.854888289 -87.705340888
41.955789401 -87.750288365
41.893560332 -87.634120048
41.707380395 -87.530452662
41.748966139 -87.577153013
42.004254037 -87.660838271
41.766532839 -87.62013853
41.885393253 -87.663547848
41.877541694 -87.647230943
41.745388268 -87.569789256
41.804775828 -87.619472488
41.79798374 -87.723294914
41.944547789 -87.67205971
41.921085247 -87.747451729
41.939720753 -87.666846255
41.884640562 -87.629465296
41.764087956 -87.657875909
41.948131367 -87.649510899
41.779344904 -87.671794555
41.994123845 -87.687843134
41.84238663 -87.623553916
41.874233514 -87.630666333
41.975519413 -87.668345013
41.707095328 -87.628834415
41.72177181 -87.621241782
41.883500187 -87.627876698
41.891618033 -87.662281831
41.945643679 -87.807018436
41.807460693 -87.719863518
41.900875497 -87.722985087
41.880355702 -87.626159693
41.858568011 -87.710319284
41.768286908 -87.686519685
41.912599066 -87.685454169
41.799204348 -87.584044296
41.851790369 -87.703400147
41.975258324 -87.754380469
41.873187107 -87.743670577
41.977919618 -87.907209635
41.750111323 -87.644030737
41.706759383 -87.657897692
41.977730236 -87.846469859
41.800167577 -87.698863145
41.907576251 -87.765098679
41.904728506 -87.759734893
41.938132527 -87.797479984
41.656818764 -87.614159613
41.753037726 -87.549171899
